,noncountry,geopy
1019,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1020,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1021,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1022,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1023,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1024,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1025,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1026,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1027,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1028,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1029,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1030,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1031,Rome,"Rome, Roma Capitale, Lazio, Italy"
1032,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1033,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1034,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1035,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1036,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1037,New York,"New York, United States"
1038,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1039,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1040,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1041,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1042,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1043,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1044,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1045,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1046,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1047,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1048,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1049,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1050,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1051,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1052,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1053,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1054,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1055,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1056,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1057,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1058,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1059,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1060,Holland,Netherlands
1061,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1062,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1063,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1064,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1065,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1066,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1067,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1068,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1069,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1070,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1071,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1072,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1073,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1074,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1075,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1076,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1077,England,"England, United Kingdom"
1078,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1079,Scotland,"Scotland, United Kingdom"
1080,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1081,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1082,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1083,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1084,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1085,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1086,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1087,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1088,Roman Empire,"New Lotus House, 485, Roman Road, Old Ford, Bow, London Borough of Tower Hamlets, London, Greater London, England, E3 5LX, United Kingdom"
1089,Scotland,"Scotland, United Kingdom"
1090,Khorasan,"Khorasan, دهستان نجف آباد, بخش مرکزی بیجار, Bijar County, Kurdistan Province, Iran"
1091,Khorasan,"Khorasan, دهستان نجف آباد, بخش مرکزی بیجار, Bijar County, Kurdistan Province, Iran"
1092,Khorasan,"Khorasan, دهستان نجف آباد, بخش مرکزی بیجار, Bijar County, Kurdistan Province, Iran"
1093,England,"England, United Kingdom"
1094,England,"England, United Kingdom"
1095,Khorasan,"Khorasan, دهستان نجف آباد, بخش مرکزی بیجار, Bijar County, Kurdistan Province, Iran"
1096,England,"England, United Kingdom"
1097,England,"England, United Kingdom"
1098,England,"England, United Kingdom"
1099,Istanbul,"Istanbul, Fatih, Istanbul, Marmara Region, 34122, Turkey"
1100,Istanbul,"Istanbul, Fatih, Istanbul, Marmara Region, 34122, Turkey"
1101,Pompeii,"Pompeii, Pompei, Naples, Campania, 80045, Italy"
1102,Reykjavík,"Reykjavik, Capital Region, Iceland"
1103,Wicklow,"Wicklow, County Wicklow, Leinster, Ireland"
1104,Bar Harbor,"Bar Harbor, Hancock County, Maine, United States"
1105,Grant Park,"Grant Park, 331, Loop, Chicago, Cook County, Illinois, 60601, United States"
1106,Saint-Rémy-de-Provence,"Saint-Rémy-de-Provence, Arles, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, Metropolitan France, 13210, France"
1107,Chartres,"Chartres, Eure-et-Loir, Centre-Val de Loire, Metropolitan France, 28000, France"
1108,Coalport,"Coalport, Clearfield County, Pennsylvania, United States"
1109,Munster,"Münster, North Rhine-Westphalia, Germany"
1110,Kansas,"Kansas, United States"
1111,Norfolk,"Norfolk, England, United Kingdom"
1112,Flossmoor,"Flossmoor, Rich Township, Cook County, Illinois, 60422, United States"
1113,Frascati,"Frascati, Roma Capitale, Lazio, 00044, Italy"
1114,Giverny,"Giverny, Les Andelys, Eure, Normandy, Metropolitan France, 27620, France"
1115,Tennessee,"Tennessee, United States"
1116,Bonampak,"Bonampak, Tuxtla Gutiérrez, Chiapas, 29025, Mexico"
1117,Salem,"Salem, Marion County, Oregon, United States"
1118,"Kenridge Drive, 6970","Kenridge Drive, Kendale, Columbus, Sharon, Franklin County, Ohio, 43220, United States"
1119,Chicago Heights,"Chicago Heights, Bloom Township, Cook County, Illinois, 60411, United States"
1120,Montpellier,"Montpellier, Hérault, Occitania, Metropolitan France, France"
1121,Burr Ridge,"Burr Ridge, DuPage County, Illinois, United States"
1122,Isles of Scilly,"Isles of Scilly, England, United Kingdom"
1123,Memphis,"Memphis, Shelby County, West Tennessee, Tennessee, United States"
1124,Aurora,"Aurora, Aurora Township, Kane County, Illinois, United States"
1125,Eastern Europe,"Tenneco Automotive Eastern Europe Sp. z o.o., Trynek, Gliwice, Metropolis GZM, Silesian Voivodeship, Poland"
1126,Colorado,"Colorado, United States"
1127,Scenic,"Scenic, Mohave County, Arizona, United States"
1128,East Germany,"East, 73, Friedrich-Ebert-Straße, Motzberg, Vorderer Westen, Kassel, Hesse, 34119, Germany"
1129,Penobscot Nation,"Penobscot Nation, Franklin County, Maine, 04460, United States"
1130,Elgin,"Elgin, Elgin Township, Kane County, Illinois, United States"
1131,Flecken Zechlin,"Flecken Zechlin, Rheinsberg, Ostprignitz-Ruppin, Brandenburg, 16837, Germany"
1132,Remojadas,"Remojadas, Salvador Díaz Mirón, Xalapa, Veracruz, 91180, Mexico"
1133,Oklahoma,"Oklahoma, United States"
1134,"Erie Street, 60 West","60, Erie Street, West Middlesex, Mercer County, Pennsylvania, 16159, United States"
1135,Montpelier,"Montpelier, Washington County, Vermont, 05602, United States"
1136,New Harmony,"New Harmony, Posey County, Indiana, United States"
1137,Tamil Nadu,"Tamil Nadu, India"
1138,Longport,"Longport, Station Road, Porthill, Newcastle-under-Lyme, Staffordshire, England, ST6 4NF, United Kingdom"
1139,Polis,"Polis, Polis Chrysochous, Δήμος Πόλις Χρυσοχούς, Paphos District, Cyprus, 8820, Cyprus"
1140,Madhya Pradesh,"Madhya Pradesh, India"
1141,Manhattan,"Manhattan, New York County, New York, United States"
1142,Wheaton,"Wheaton, DuPage County, Illinois, 60187, United States"
1143,Northern Italy,"Italy Garage, KSS Road, Koinadugu District, Northern Province, Sierra Leone, Sierra Leone"
1144,Cedar Rapids,"Cedar Rapids, Linn County, Iowa, United States"
1145,Berkeley,"Berkeley, Alameda County, California, United States"
1146,Ise-wan,"Ise Bay, Aichi Prefecture, Japan"
1147,Limbach-Oberfrohna,"Limbach-Oberfrohna, Zwickau, Saxony, 09212, Germany"
1148,Lincoln Park,"Lincoln Park, Wayne County, Michigan, 48146, United States"
1149,Arles,"Arles, Bouches-du-Rhône, Provence-Alpes-Côte d'Azur, Metropolitan France, France"
1150,Northwestern Iran,"Shiraz Northwestern Expressway, Shahrak Beheshti, zone 10, Shiraz, Shiraz Central District, Shiraz County, Fars Province, 71897-13999, Iran"
1151,Rhine,"Rhine, Germany"
1152,"McDonalds Plaza, 1","South Vero Plaza (McDonalds Roadside), US Highway 1, Oslo, Florida Ridge, Indian River County, Florida, 32962, United States"
1153,La Porte,"La Porte, Harris County, Texas, 77571, United States"
1154,Middletown,"Middletown, Lower Connecticut River Valley Planning Region, Connecticut, United States"
1155,Normandy,"Normandy, Metropolitan France, France"
1156,Anatolia,"Anatolia, Central Anatolia Region, Turkey"
1157,Puri,"Puri, Puri (M), Puri, Odisha, 752001, India"
1158,Santo Domingo Pueblo,"Santo Domingo Pueblo / Kewa, Sandoval County, New Mexico, United States"
1159,Brooklyn,"Brooklyn, Kings County, New York, United States"
1160,Northern Plains,"Northern Plains, 405, 4th Avenue North, Madison/Unicorn Park, Fargo, Cass County, North Dakota, 58102, United States"
1161,Ancient Europe,"Ancient and Primeval Beech Forests of the Carpathians and Other Regions of Europe, Tiachiv Raion, Zakarpattia Oblast, Ukraine"
1162,Épinay-sur-Seine,"Épinay-sur-Seine, Saint-Denis, Seine-Saint-Denis, Metropolitan France, 93800, France"
1163,Plains,"Plains, Yoakum County, Texas, United States"
1164,Trouville,"Trouville-sur-Mer, Lisieux, Calvados, Normandy, Metropolitan France, 14360, France"
1165,Ede,"Ede, Gelderland, Netherlands"
1166,Clinton,"Clinton County, Pennsylvania, United States"
1167,Bangor,"Bangor, Penobscot County, Maine, 04401, United States"
1168,Valenciennes,"Valenciennes, Nord, Hauts-de-France, Metropolitan France, 59300, France"
1169,Mulhouse,"Mulhouse, Haut-Rhin, Grand Est, Metropolitan France, France"
1170,Lake George,"Town of Lake George, Warren County, New York, 12845, United States"
1171,New Jersey,"New Jersey, United States"
1172,Gardiner,"Gardiner, Kennebec County, Maine, 04345, United States"
1173,Hyderabad,"Hyderabad, Bahadurpura mandal, Hyderabad, Telangana, India"
1174,Central Mexico,"Central, Santa Catarina Atzacualco, Mexico City, Azcapotzalco, Mexico City, 02250, Mexico"
1175,North America,North America
1176,Karnataka,"Karnataka, India"
1177,Zeeland,"Zeeland, Netherlands"
1178,Fishkill,"Town of Fishkill, Dutchess County, New York, United States"
1179,Arlington Heights,"Arlington Heights, Wheeling Township, Cook County, Illinois, United States"
1180,Middleton,"Middleton, Dane County, Wisconsin, 53562, United States"
1181,Laon,"Laon, Aisne, Hauts-de-France, Metropolitan France, 02000, France"
1182,Malmö,"Malmo, Malmö kommun, Skåne County, Sweden"
1183,Rutland,"Rutland, England, United Kingdom"
1184,Rotterdam,"Rotterdam, South Holland, Netherlands"
1185,Ludwigsburg,"Ludwigsburg, Landkreis Ludwigsburg, Baden-Württemberg, Germany"
1186,Delaware,"Delaware, United States"
1187,Walworth,"Walworth County, Wisconsin, United States"
1188,Borneo,"Borneo, Kalimantan, Indonesia"
1189,Manises,"Manises, l'Horta Sud, Valencia, Valencian Community, 46940, Spain"
1190,Ródhos,"Rodhos, 150-158, Stanhill Drive, Surfers Paradise, Gold Coast City, Queensland, 4217, Australia"
1191,Kríti,"Kriti, Kokernag Tehsil, Anantnag, Jammu and Kashmir, India"
1192,Montereau,"Montereau, Montargis, Loiret, Centre-Val de Loire, Metropolitan France, 45260, France"
1193,Rochester,"City of Rochester, Monroe County, New York, United States"
1194,Liège,"Liège, Wallonia, 4000, Belgium"
1195,Kent,"Kent, England, United Kingdom"
1196,Lésvos,"Lesbos, Aegean, Greece"
1197,Ocean Springs,"Ocean Springs, Jackson County, Mississippi, 39564, United States"
1198,Dordrecht,"Dordrecht, South Holland, Netherlands"
1199,Mysore,"Mysuru, Mysuru taluk, Mysuru, Karnataka, 570001, India"
1200,Ithaca,"Town of Ithaca, Tompkins County, New York, United States"
1201,Bogotá,"Bogota Capital District - Municipality, Bogota, Capital District, RAP (Especial) Central, 11001, Colombia"
1202,Potsdam,"Potsdam, Brandenburg, Germany"
1203,Rossiya republic,"Republic, Волоколамское шоссе (дублёр), Pokrovskoye-Streshnevo District, Moscow, Central Federal District, 125476, Russia"
1204,San Juan Sacatepéquez,"San Juan Sacatepéquez, Guatemala Department, Guatemala"
1205,Salt River Canyon,"Salt River Canyon Wilderness Area, Gila County, Arizona, United States"
1206,L'Aquila,"L'Aquila, Italy"
1207,Kéa,"Kea, Kea-Kythnos Regional Unit, South Aegean, Aegean, 840 02, Greece"
1208,Abiquiu,"Abiquiu, Rio Arriba County, New Mexico, United States"
1209,Rajasthan,"Rajasthan, India"
1210,Pinxton,"Pinxton, Bolsover, Derbyshire, East Midlands, England, United Kingdom"
1211,LaSalle Street,"Lasalle Street, Heron Park, Capital, Ottawa, Eastern Ontario, Ontario, K1H 1A6, Canada"
1212,Weisswasser,"Bělá pod Bezdězem, okres Mladá Boleslav, Central Bohemia, 294 21, Czechia"
1213,Deccan,"Deccan, Buguias, Ifugao, Cordillera Administrative Region, Philippines"
1214,Wheeling,"Wheeling, Ohio County, West Virginia, 26003, United States"
1215,Asheville,"Asheville, Buncombe County, North Carolina, United States"
1216,"LaSalle Street, 102-116 South","Lasalle Street, Orleans Estates, Charleston, Charleston County, South Carolina, 29407, United States"
1217,Uttaranchal,"Uttarakhand, India"
1218,Hinsdale,"Hinsdale County, Colorado, 81235, United States"
1219,København county,"København, N 505, Bondåkra, Laholms kommun, Halland County, Sweden"
1220,Park Ridge,"Park Ridge, Maine Township, Cook County, Illinois, 60068, United States"
1221,Idaho,"Idaho, United States"
1222,Puebla state,"Puebla, Ixtapaluca, State of Mexico, 56564, Mexico"
1223,Amiens,"Amiens, Somme, Hauts-de-France, Metropolitan France, France"
1224,Ocucaje,"Ocucaje, Province of Ica, Ica, Peru"
1225,Frankfurt am Main,"Frankfurt, Hesse, Germany"
1226,Tactic,"Tactic, Alta Verapaz, Guatemala"
1227,Mount Clemens,"Mount Clemens, Macomb County, Michigan, United States"
1228,Jammu-Kashmir,"Jammu and Kashmir, India"
1229,Madrid,"Madrid, Community of Madrid, Spain"
1230,Northeastern Massachusetts,"Northeastern, 360, Huntington Avenue, Fenway-Kenmore, Boston, Suffolk County, Massachusetts, 02115, United States"
1231,Western Germany,"Western, Versen, Meppen, Landkreis Emsland, Lower Saxony, 49716, Germany"
1232,White Mountain,"White Mountain, Unorganized Borough, Alaska, 99784, United States"
1233,Downers Grove,"Downers Grove, DuPage County, Illinois, United States"
1234,Toronto,"Toronto, Golden Horseshoe, Ontario, Canada"
1235,Greensburg,"Greensburg, Westmoreland County, Pennsylvania, 15601, United States"
1236,Benicia,"Benicia, Solano County, California, 94510, United States"
1237,Kenosha,"Kenosha, Kenosha County, Wisconsin, United States"
1238,Norman,"Norman, Cleveland County, Oklahoma, United States"
1239,Central Plains,"Central Plains, Cass County, Illinois, United States"
1240,Phoenix,"Phoenix, Maricopa County, Arizona, United States"
1241,"Pueblo of Zia, New Mexico","Pueblo of Zia Historic Marker, US 550, Zia Pueblo, Sandoval County, New Mexico, United States"
1242,"Cannon Drive, 2200 North","2200, North Cannon Drive, Old Town Triangle, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States"
1243,Hampton Court,"Hampton Court, Hampton Court Way, Thames Ditton, Elmbridge, Surrey, England, KT8 9AE, United Kingdom"
1244,Castlemorton,"Castlemorton, Malvern Hills, Worcestershire, England, United Kingdom"
1245,New Castle,"New Castle, Lawrence County, Pennsylvania, 16101, United States"
1246,Eastern Massachusetts,"Urban League of Eastern Massachusetts, 88, Warren Street, Nubian Square, Roxbury, Boston, Suffolk County, Massachusetts, 02119, United States"
1247,Dedham,"Dedham, Norfolk County, Massachusetts, United States"
1248,White House,"White House, 1600, Pennsylvania Avenue Northwest, Ward 2, Washington, District of Columbia, 20500, United States"
1249,"Dearborn Street, 140 South","140, Dearborn Street, Great Falls, Chester County, South Carolina, 29055, United States"
1250,"Linden Avenue, 415 North","415, Linden Avenue, North Park, Buffalo, Erie County, New York, 14216, United States"
1251,Nathdwara,"Nathdwara, NH162, Gurha, Mandiyana, Nathdwara Tehsil, Rajsamand, Rajasthan, India"
1252,"Elder Lane, 472","472, Elder Lane, Fayetteville, Cumberland County, North Carolina, 28304, United States"
1253,Lafayette,"Lafayette, Lafayette Parish, Louisiana, United States"
1254,Cobán,"Cobán, Alta Verapaz, Guatemala"
1255,Royal Tunbridge Wells,"Royal Tunbridge Wells, Tunbridge Wells, Kent, England, TN1 2DL, United Kingdom"
1256,New Hope,"New Hope, Hennepin County, Minnesota, 55428, United States"
1257,Scottsville,"Scottsville, Allen County, Kentucky, United States"
1258,Loch Vale,"Loch, Wiler, Niederwald, Goms, Wallis, 3989, Switzerland"
1259,"Madison Street, 78-84 West","Madison Street, West Edge, First Hill, Seattle, King County, Washington, 98154, United States"
1260,San Cristóbal Totonicapán,"San Cristóbal Totonicapán, Totonicapán, Guatemala"
1261,Central Java,"Central Java, Java, Indonesia"
1262,Nicoya,"Cantón de Nicoya, Guanacaste, Costa Rica"
1263,Hanley,"Hanley, Stoke-on-Trent, England, ST1 1LD, United Kingdom"
1264,New London,"New London, Southeastern Connecticut Planning Region, Connecticut, 06320, United States"
1265,Lincoln Park Zoo,"Lincoln Park Zoo, 2001, North Clark Street, Old Town Triangle, Lincoln Park, Chicago, Cook County, Illinois, 60614, United States"
1266,Capodimonte,"Capodimonte, Viterbo, Lazio, Italy"
1267,Uttar Pradesh,"Uttar Pradesh, India"
1268,Orléans,"Orléans, Loiret, Centre-Val de Loire, Metropolitan France, France"
1269,Sumatra,"Sumatra, Indonesia"
1270,Birmingham,"Birmingham, West Midlands, England, United Kingdom"
1271,Northern California,"Northern California, United States"
1272,Salamanca,"Salamanca, Castile and León, Spain"
1273,Kili,"Kili, Ralik Chain, Marshall Islands"
1274,Oneida County,"Oneida County, New York, United States"
1275,Doccia,"Doccia del Cimone, Fiumalbo, Unione dei comuni del Frignano, Modena, Emilia-Romagna, 41022, Italy"
1276,Neuwied,"Neuwied, Landkreis Neuwied, Rhineland-Palatinate, Germany"
1277,Eastern India,"Eastern, NH-66 Service Road, Sahrudaya Nagar, Edapally, Ernakulam, Kanayannur, Ernakulam, Kerala, 682024, India"
1278,Boca Raton,"Boca Raton, Palm Beach County, Florida, United States"
1279,"Huron Street, 161 East","Huron Street, New Dayton, Istrouma, Baton Rouge, East Baton Rouge Parish, Louisiana, 70805, United States"
1280,Oak Brook,"Oak Brook, DuPage County, Illinois, 60523, United States"
1281,Iowa City,"Iowa City, Johnson County, Iowa, United States"
1282,Piraeus,"Piraeus, Municipality of Piraeus, Regional Unit of Piraeus, Attica, 185 35, Greece"
1283,Watervliet,"City of Watervliet, Albany County, New York, 12189, United States"
1284,"Michigan Avenue, 1936 South","1936, Michigan Avenue, Hunley Park, North Charleston, Charleston County, South Carolina, 29404, United States"
1285,Rockford,"Rockford, Rockford Township, Winnebago County, Illinois, United States"
1286,Veio,"Galleria Parco di Veio 1, Grande Raccordo Anulare, Labaro, Municipio Roma XV, Rome, Roma Capitale, Lazio, 00189, Italy"
1287,Sapulpa,"Sapulpa, Creek County, Oklahoma, United States"
1288,Dixon,"Dixon County, Nebraska, United States"
1289,Edgefield,"Edgefield County, South Carolina, United States"
1290,West Indies,"West Indies, Huruma ward, Turbo, Uasin Gishu County, Rift Valley, 30100, Kenya"
1291,Zürich,"Zurich, District Zurich, Zurich, Switzerland"
1292,Creil,"Creil, Senlis, Oise, Hauts-de-France, Metropolitan France, 60100, France"
1293,Santa Monica,"Santa Monica, Los Angeles County, California, United States"
1294,Bowling Green,"Bowling Green, Warren County, Kentucky, 42101, United States"
1295,Pisco Valley,"Puerto 27 Peruvian Kitchen & Pisco Bar, 525, Crespi Drive, Pedro Valley, Pacifica, San Mateo County, California, 94044, United States"
1296,East Windsor Hill,"East Windsor Hill, South Windsor, Capitol Planning Region, Connecticut, 06088, United States"
1297,Germantown,"Germantown, Montgomery County, Maryland, United States"
1298,Soldiers' Club,"Soldiers’, Sailors’, Marines’, Coast Guard and Airmen’s Club, 283, Lexington Avenue, Murray Hill, Manhattan Community Board 6, Manhattan, New York County, New York, 10016, United States"
1299,Washington,"Washington, District of Columbia, United States"
1300,Bordeaux,"Bordeaux, Gironde, Nouvelle-Aquitaine, Metropolitan France, France"
1301,Devon,"Devon, England, United Kingdom"
1302,Sierra Nevada de Santa Marta,"Sierra Nevada de Santa Marta, Aracataca, Magdalena, RAP Caribe, Colombia"
1303,Avadh,"Avadh, NH730, Balrampur, Uttar Pradesh, 271200, India"
1304,Malibu,"Malibu, Los Angeles County, California, United States"
1305,Fond du Lac,"Fond du Lac County, Wisconsin, United States"
1306,"Lakeview Avenue, 2400 North","Lakeview Avenue, Winston-Salem, Forsyth County, North Carolina, 27110, United States"
1307,Dunfermline,"Dunfermline, Fife, Scotland, United Kingdom"
1308,Denver,"Denver, Colorado, United States"
1309,Dali,"Dali Bai Autonomous Prefecture, Yunnan, China"
1310,Ravenna,"Ravenna, Emilia-Romagna, Italy"
1311,Landshut,"Landshut, Bavaria, Germany"
1312,Marblehead,"Marblehead, Essex County, Massachusetts, 01945, United States"
